頭錢,頭錢
甲骨文字,龜甲文
合金,合金
忽魚,鱘魚
再編,再編
量窄,量窄
鑿子木,小波拉葉
生活年齡,生活年齡
雇兵,雇兵
大循環,大循環
角筒,角筒
測距儀,測距儀
司馬,司馬
都摠府,都摠府
家邦,家國
所持者,所持人
盛衰,興替
馬舍,馬廏間
生活品,生活必需品
水狐,沙蝨
艍舠船,居刀船
法靑,法靑
椿壽,椿壽
寒色,暖色
許給,許給
羅針儀,羅針盤
朋執,朋執
破軍,破軍
優性形質,優性形質
崎嶇,崎險
丸劑,丸藥
起兵,興師
簑衣,襏襫
孔雀羽,靈羽
冬至豆粥,冬至粥
仁參,人蔘
要緊,要緊
不恒費,不恒費
設或,設或
萬頃波,萬頃波
錯覺犯,錯覺犯
止血法,止血法
筆鋒,毫端
蕭散,蕭散
鷹人,鷹人
骸骨處,骸骨處
執行吏,執行吏
踐歷,遍巡
保太平樂,保太平樂
短軀,短軀
長刀,長刀
短資會社,投資金融會社
極艱,極艱
奬勸,勸奬
瘠土,磽确
邦境,國境
賦性,稟性
石次蛙,石次蛙
綽號,綽號
普通知識,普通知識
牔風,牔風
假睡,假睡
耳郭,耳介
病斑,病斑
棊枰,棊枰
穿頭術,開頭術
鐵礬土,水礬土
臆度,臆料
椽廳,作廳
精舍,僧伽藍
文辭,文詞
欲心,慾心
散軼,散佚
鴆殺,鴆弑
咆號,嘲哮
氣筒,汽筩
脹始,創始
弓箭之士,武士
招請,招請
陞降石,石段
從卒,從兵
袞龍袍,袞服
暗算,暗算
擱筆,擱筆
桑實酒,桑實酒
糯餠,糯餠
制慾說,制慾說
空集合,空集合
複合關稅,複合關稅
水蝕山,浸蝕山
增益,增積
早成性,離巢性
纖弱,軟娟
電解物,電解物
支管,枝管
覘望,伺望
地仙,灼子
反錦,反錦
散藥,湯藥
倉庫,倉府
藜鐵,鐵蒺藜
藥袋,藥囊
聽耳酒,聰耳酒
頭頂骨,顱頂骨
編年體,紀年體
大命,景命
巡邏,巡邏
商略,商略
朞年祭,大小祥
豆菽類,斗穀類
再從孫,再從孫子
故舊,故交
片鐵,編鐵
居甲,居首
酸性病,酸性病
鳳輦,鳳輦
辛苦,苦毒
那落,地獄
由旬那,由旬那
緯線,緯度線
酸化砒素,酸化砒素
遲參,遲參
輸入超過,輸入超過
白嶽山,白嶽山
居常,居常
金海京,金海京
撤廢,撤罷
寸壤,尺土
元辰,正旦
鰻鯉,鰻鱺魚
閉架制,閉架式
砂壤土,沙壤土
季節風,季候風
妬忌,嫉妬
音符,音標
勝戰國,戰捷國
金銀寶貨,金銀寶貨
詞林,詞林
櫻桃,櫻桃
瞭然,瞭然
前番,先般
陞降機,陞降機
恒溫層,恒溫帶
白蠟,白癜風
秋晩,季秋
白鷺,鶬鷄
流産,落胎
判印,印章
禮判,禮判
水脹,水脹
食醋酸菌,食醋酸菌
譏察軍官,譏察軍官
笑氣,亞酸化窒素
毛竅,毛孔
類義語,類意語
浮漂植物,浮水植物
反射弓,反射弓
山神靈,山神靈
胡狄,外夷
牽馬陪,牽馬夫
淆亂,混亂
獨裁者,獨裁者
遞傳,遞傳
細註,細註
宋朝體,宋朝體
拳銃,拳銃
狀元,狀元
贖錢,贖錢
膏淋,膏淋
鹹糊,鹹糊
黑體,黑體
黑魚,火頭魚
緯度圈,緯度圈
酸毒症,酸性血液症
冥府,冥界
昌原郡,昌原市
眞彩,石彩
舞臺配光,舞臺配光
所存,所存者
熱痰,熱痰
嶮阪,嶮阪
山獺,山獺
飛蛾,飛蛾
增遣,增遣
早期浸潤,早期浸潤
漕運,轉漕
妻妾,妻妾
竝呑,竝呑
疊嶂,疊嶂
峽間,谷地
毛皮種,毛皮用種
標準,標準
辨理,辦理
上告法院,大法院
仲秋佳節,中秋佳節
大葉柞,柞木
土龍,土墳
戶曹,戶曹
無弦,無弦
生路,生道
熱烈,烈烈
樟腦樹,樟腦樹
廻章,回文
生男禮,得男禮
動亂,戰爭
將來,將來
偏執病,偏執症
蛇陵,五陵
悲歎,悲嘆
當直,上直
暗款,暗花
生離別,生別
偵探,探偵
補集合,餘集合
列朝,列聖朝
飛騰,飛揚
費消,消費
執質,執贄
移動大使,巡廻大使
成法,實定法
唐瘡,骨疽
宏猷,宏謀
廉探,詗探
尼寺,尼院
强奪,强取
結合則,結合法則
新元,正日
單節類,單體寸蟲類
乳光,蛋白光
巹禮,婚禮
消亡,消滅
火蔘,王大黃
國庫關稅,財政關稅
網版,網版
起火箭,神機箭
薨逝,薨去
喪人,喪制
薤菜,薤菜
供給獨占,供給獨占
救命銃,救命銃
怯弱,怯弱
楊梅,山桃
翠苔,翠苔
海岸線,沿海線
兵曹判書,騎判
財賄,財賄
相似圖形,相似圖形
間路,間路
忌避,忌諱
性格,性格
牽連犯,牽聯犯
屍身,死屍
淸楚體,淸楚體
江口,渡口
省略,省略
滿干,滿干
眼疾,眼疾
官宅,官宅
公處奴婢,官奴婢
高空病,高度病
傲然,桀驁
蛔證,蛔症
落成,竣工
劍術師,劍術師
變易身,變化身
林蘭,林蘭
災殃,災禍
訓將,訓將
新注,古注
正三角形,等角三角形
設彩,設彩
味覺器官,味覺器官
鉛琉璃,鉛琉璃
翼果,翅果
單線,單線鐵道
右議政,右揆
黃道傾角,黃道傾斜
姦迹,姦跡
雀羽,孔雀羽
破片爆彈,破片彈
舊型,舊形
罌粟,楊貴妃
絲穀,絲身穀腹
指數,冪指數
蓮花寶座,蓮花座
蚱蟬,蟬蟲
白疣,白疣
光祿卿,光祿卿
蛞東,蛞東
淨宮,梵刹
照亮,照諒
太僕,太僕
奬勵賞,奬勵賞
深責,切責
後夫,後書房
糧秣,糧草
靈筵,几筵
暖室,暖房
訃音,訃聞
柞木,櫟木
眼華,空華
化合量,化合量
丘墓,陰宅
沒風流,沒風
同値,等價
洋銀,洋白
單線鐵道,單線軌道
猜忌之心,猜忌心
認許狀,許可狀
半子,女壻
受寶籙舞,受寶籙舞
分碎,分碎
幼生器官,一時的器官
大豊,大豊
紫玉蓮,紫木蓮
柔然,茹茹
